,title,subtitle,link
0,NUMBERS GAME,England squad numbers CONFIRMED as Southgate drops huge hint at starting XI,https://www.thesun.co.uk/sport/28378930/england-squad-numbers-euros-confirmed-southgate-hint/
1,SWEAR CALL,Clive Tyldesley says football commentators should be allowed to use F-word,https://www.thesun.co.uk/sport/28376780/clive-tyldesley-football-commentators-swearing/
2,FINAL DECISION,Utd close to announcing Ten Hag decision after Ratcliffe rocked by Cup win,https://www.thesun.co.uk/sport/28372695/man-utd-erik-ten-hag-decision/
3,GUNNAR GO,Solskjaer in talks with Prem club over manager job after being pipped in Turkey,https://www.thesun.co.uk/sport/28372168/ole-gunnar-solskjaer-leicester-job-manchester-united/
4,EURO VISION,"Dream Team Euros is live! Play now and compete for £50,000 prize pot",https://www.thesun.co.uk/sport/football/dream-team/27813507/euros-fantasy-football-game-scoring-transfers-rules/
5,ENGLAND RATINGS,Mainoo one of very few positives as Kane fails to show up at Wembley,https://www.thesun.co.uk/sport/28373087/england-ratings-players-iceland-mainoo-guehi/
6,WEM-BOO-LEY,Southgate responds to Wembley boos as England suffer humiliating Iceland loss,https://www.thesun.co.uk/sport/28378318/gareth-southgate-wembley-boos-iceland-euro-2024/
7,FUNNY SPELL,Fans 'forget which country England are playing' due to confusing graphic',https://www.thesun.co.uk/sport/28374126/channel-4-england-iceland-coverage/
8,'WE MAY AS WELL NOT GO',England injury worry as key star subbed at half time after knock,https://www.thesun.co.uk/sport/28374642/john-stones-england-injury-iceland-euro-2024/
9,FEELING THE HEAT,Grealish's summer could be about to get even worse after England axe,https://www.thesun.co.uk/sport/28373915/jack-grealish-man-city-england-snub/
10,LUKE WHO'S TALKING,Littler makes surprise appearance in 'class' England announcement vid,https://www.thesun.co.uk/sport/28371052/luke-littler-england-squad-announcement-manchester-united/
11,SCOTS 2 FINLAND 2,Low-key farewell jamboree leaves Clarke with huge calls to make at Euros,https://www.thesun.co.uk/sport/28376205/scotland-vs-finland-live-score-team-news-updates/
